Objects
100
,,Global Angle rccar_car_01:rccar_car_01,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
305,0,-0.00848773,0.00547455,-1.29419,-341.715,-140.177,152.802
306,0,-0.00900857,0.00546985,-1.29095,-335.907,-159.881,152.702
307,0,-0.0100005,0.00676105,-1.28802,-330.21,-179.63,152.632
308,0,-0.008614,0.0077696,-1.28525,-324.205,-199.271,152.406
309,0,-0.00722,0.0085519,-1.2825,-318.179,-219.069,152.24
310,0,-0.00655721,0.00914163,-1.27937,-312.194,-238.763,152.143
311,0,-0.00728428,0.00985801,-1.2754,-306.146,-258.458,152.057
312,0,-0.00753407,0.00884656,-1.27248,-300.02,-278.087,152.036
313,0,-0.00821771,0.00822068,-1.26934,-293.867,-297.668,151.942
314,0,-0.00826814,0.00746636,-1.2665,-287.661,-317.228,151.822
315,0,-0.00812091,0.00683851,-1.26341,-281.372,-336.792,151.8
316,0,-0.0081243,0.00706425,-1.26028,-275.047,-356.379,151.696
317,0,-0.00755956,0.00719896,-1.25789,-268.626,-375.893,151.545
318,0,-0.00702417,0.00748232,-1.25526,-262.165,-395.419,151.454
319,0,-0.00711142,0.00787537,-1.25272,-255.647,-414.917,151.257
320,0,-0.00760941,0.00851355,-1.25033,-249.091,-434.391,151.027
321,0,-0.00799344,0.00885108,-1.24775,-242.429,-453.864,150.856
322,0,-0.00864797,0.00952385,-1.24539,-235.702,-473.271,150.765
323,0,-0.00889971,0.0103579,-1.24318,-228.923,-492.695,150.604
324,0,-0.00815171,0.01066,-1.24151,-222.012,-512.081,150.413
325,0,-0.0111686,0.0150026,-1.23748,-215.417,-531.439,150.13
326,0,-0.0117051,0.0150767,-1.2353,-208.6,-550.822,150
327,0,-0.0118216,0.014227,-1.23353,-201.679,-570.171,149.89
328,0,-0.0123396,0.0134629,-1.23128,-194.774,-589.451,149.783
329,0,-0.012357,0.012178,-1.22918,-187.738,-608.764,149.711
330,0,-0.012704,0.0119053,-1.22715,-180.714,-628.093,149.666
331,0,-0.0124449,0.0117042,-1.22493,-173.602,-647.372,149.614
332,0,-0.011035,0.0114712,-1.22341,-166.43,-666.572,149.441
333,0,-0.011895,0.0120943,-1.22068,-159.301,-685.948,149.356
334,0,-0.00991236,0.0117976,-1.21901,-152.002,-705.122,149.087
335,0,-0.00994575,0.0119303,-1.21673,-144.676,-724.326,148.815
336,0,-0.00950231,0.0113859,-1.2148,-137.338,-743.556,148.669
337,0,-0.00934555,0.0110418,-1.21274,-129.983,-762.724,148.552
338,0,-0.00905009,0.0111899,-1.21086,-122.544,-781.83,148.507
339,0,-0.00819658,0.0110014,-1.20901,-115.058,-800.929,148.464
340,0,-0.00808932,0.0110425,-1.20705,-107.615,-819.942,148.447
341,0,-0.00863708,0.0107408,-1.20479,-100.141,-838.872,148.528
342,0,-0.00908681,0.009638,-1.20267,-92.6201,-857.7,148.575
343,0,-0.00995752,0.00893041,-1.20021,-85.0841,-876.434,148.631
344,0,-0.0102082,0.00844648,-1.19767,-77.5418,-895.082,148.631
345,0,-0.00956194,0.0104461,-1.19482,-70.1247,-913.455,148.363
346,0,-0.00830579,0.013422,-1.1919,-62.804,-931.503,147.986
347,0,-0.00641822,0.0163809,-1.18953,-55.6392,-949.103,147.542
348,0,-0.00502586,0.0187171,-1.18717,-48.5384,-966.424,147.035
349,0,-0.00409089,0.0210831,-1.1847,-41.6101,-983.315,146.499
350,0,-0.00424272,0.0228588,-1.18182,-34.821,-999.874,146.03
351,0,-0.00351038,0.0242233,-1.17935,-28.0989,-1015.95,145.47
352,0,-0.00259574,0.0246536,-1.17702,-21.5639,-1031.75,144.93
353,0,-0.00271672,0.0265147,-1.17437,-15.1194,-1047.13,144.725
354,0,-0.000914985,0.0265298,-1.17245,-8.81141,-1062.12,144.281
355,0,-0.00101577,0.0289852,-1.1699,-2.60479,-1076.8,144.321
356,0,0.0016594,0.0299379,-1.16833,3.47009,-1090.97,143.908
357,0,0.00291658,0.0310725,-1.16674,9.48564,-1104.84,143.818
358,0,0.00352872,0.0316774,-1.16458,15.4991,-1118.42,143.734
359,0,0.00484241,0.0318959,-1.16275,21.262,-1131.57,143.679
360,0,0.00439228,0.0317995,-1.16033,26.9387,-1144.43,143.576
361,0,0.00428722,0.0331295,-1.15793,32.5428,-1157.02,143.589
362,0,0.00595778,0.0303838,-1.1563,38.2042,-1169.03,144.034
363,0,0.00570716,0.0302133,-1.15453,43.6156,-1181.05,144.091
364,0,0.00730903,0.0292908,-1.15392,48.9352,-1192.65,143.87
365,0,0.00702557,0.0293355,-1.15234,54.1782,-1204.04,143.911
366,0,0.00757727,0.0294136,-1.15137,59.2305,-1215.21,144.082
367,0,0.00781941,0.0286613,-1.1498,64.2474,-1226.04,144.099
368,0,0.00753668,0.0286639,-1.14817,69.2071,-1236.67,144.14
369,0,0.00809649,0.0285447,-1.14692,74.1054,-1247.08,144.137
370,0,0.00855936,0.0283862,-1.14562,78.9097,-1257.21,144.137
371,0,0.00847475,0.0281724,-1.14431,83.6233,-1267.16,144.091
372,0,0.00846832,0.028318,-1.14318,88.2573,-1276.88,143.977
373,0,0.00412681,0.0337454,-1.13883,92.2503,-1286.16,143.779
374,0,0.00499836,0.0333308,-1.13887,96.6438,-1295.37,143.736
375,0,0.00492625,0.0332238,-1.13794,101.011,-1304.38,143.667
376,0,0.00486871,0.032789,-1.13694,105.312,-1313.21,143.689
377,0,0.00421715,0.0326539,-1.13577,109.475,-1321.81,143.736
378,0,0.00366399,0.0322229,-1.13452,113.565,-1330.18,143.852
379,0,0.0038405,0.0318039,-1.13356,117.606,-1338.38,143.938
380,0,0.00288231,0.0324224,-1.13188,121.677,-1346.32,143.979
381,0,0.00345767,0.0323684,-1.13117,125.572,-1354.1,144.052
382,0,0.00300986,0.0329825,-1.13031,129.212,-1361.73,144.139
383,0,0.00281116,0.0328994,-1.12959,132.951,-1369.16,144.229
384,0,0.00251571,0.0327542,-1.12895,136.585,-1376.38,144.262
385,0,0.00220318,0.0333915,-1.12804,140.124,-1383.35,144.253
